order_book_id,date,high,prev_close,volume,open,low,close,total_turnover
399808.XSHE,2018-11-27,1238.1287,1216.5412,960820506.0,1225.3983,1225.3983,1232.9712,9219842540.0
399808.XSHE,2018-11-28,1262.1342,1232.9712,1499837904.0,1235.6122,1225.9816,1262.12,13807879411.0
399808.XSHE,2018-11-29,1275.3337,1262.12,1409205973.0,1268.9478,1244.7607,1245.0183,12785903249.0
399808.XSHE,2018-11-30,1264.9962,1245.0183,1347243792.0,1243.1993,1239.3053,1264.6324,12929699874.0
399808.XSHE,2018-12-03,1302.579,1264.6324,1865587926.0,1295.9081,1285.3409,1292.2865,18068300668.0
399808.XSHE,2018-12-04,1293.1286,1292.2865,1257495993.0,1287.9943,1282.6698,1292.622,11906756712.0
399808.XSHE,2018-12-05,1306.5045,1292.622,1480059900.0,1271.3044,1268.4726,1300.4204,15161442397.0
399808.XSHE,2018-12-06,1304.3198,1300.4204,1366776068.0,1293.5716,1281.8428,1284.1979,13816402027.0
399808.XSHE,2018-12-07,1292.3666,1284.1979,987399156.0,1287.6857,1283.2324,1288.9902,10171604074.0
399808.XSHE,2018-12-10,1285.6876,1288.9902,1046825078.0,1280.7138,1269.2394,1273.7353,10217685080.0
399808.XSHE,2018-12-11,1285.2851,1273.7353,884288643.0,1278.8043,1274.6202,1283.3031,8985721354.0
399808.XSHE,2018-12-12,1299.2129,1283.3031,1061907153.0,1289.2113,1288.9224,1292.2877,11329178928.0
399808.XSHE,2018-12-13,1310.663,1292.2877,1206815569.0,1296.8347,1286.3082,1304.169,11897967977.0
399808.XSHE,2018-12-14,1307.0965,1304.169,1174024478.0,1301.8579,1275.8041,1276.605,11273273530.0
399808.XSHE,2018-12-17,1274.0198,1276.605,1004812255.0,1271.7229,1252.809,1266.5813,11149308822.0
